12:00:37 Discord   Discord.Net v1.0.0-beta2-00491 (API v6)
12:00:38 Rest      GET users/@me: 781.54 ms
12:00:38 Rest      GET voice/regions: 82.19 ms
12:00:39 Gateway   Connecting
12:00:39 Gateway   Connecting ApiClient
12:00:39 Rest      GET gateway: 128.63 ms
12:00:39 Gateway   Raising Event
12:00:39 Gateway   Identifying
12:00:39 Gateway   Sent Identify
12:00:40 Gateway   Received Hello
12:00:40 Discord   Heartbeat Started
12:00:40 Gateway   Sent Heartbeat
12:00:40 Gateway   Received Dispatch (READY)
12:00:40 Discord   GuildDownloader Started
12:00:40 Gateway   Ready
12:00:40 Gateway   Sending Status
12:00:40 Gateway   Sent StatusUpdate
12:00:40 Gateway   Raising Event
12:00:40 Gateway   Connected
12:00:40 Gateway   Received Dispatch (GUILD_AVAILABLE)
12:00:41 Gateway   Connected to C#
12:00:41 Gateway   Received HeartbeatAck
12:00:41 Gateway   Latency = 750 ms
12:00:41 Gateway   Received Dispatch (TYPING_START)
12:00:41 Discord   GuildDownloader Stopped
12:00:41 Gateway   Sent StatusUpdate
12:00:42 Gateway   Received Dispatch (TYPING_START)
12:00:42 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:42 Gateway   Received Dispatch (MESSAGE_CREATE)
12:00:43 Gateway   Received Dispatch (MESSAGE_CREATE)
12:00:45 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:46 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:48 Gateway   Received Dispatch (TYPING_START)
12:00:48 Gateway   Received Dispatch (TYPING_START)
12:00:49 Gateway   Received Dispatch (TYPING_START)
12:00:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:54 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:54 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:55 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:56 Gateway   Received Dispatch (TYPING_START)
12:00:56 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:00:57 Gateway   Received Dispatch (TYPING_START)
12:00:57 Gateway   Received Dispatch (TYPING_START)
12:00:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:02 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:02 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:04 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:04 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:05 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:06 Gateway   Received Dispatch (TYPING_START)
12:01:11 Gateway   Received Dispatch (TYPING_START)
12:01:11 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:14 Gateway   Received Dispatch (TYPING_START)
12:01:14 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:14 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:15 Gateway   Received Dispatch (TYPING_START)
12:01:15 Gateway   Received Dispatch (TYPING_START)
12:01:15 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:15 Gateway   Received Dispatch (TYPING_START)
12:01:16 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:21 Gateway   Sent Heartbeat
12:01:21 Gateway   Received HeartbeatAck
12:01:21 Gateway   Latency = 47 ms
12:01:22 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:23 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:23 Gateway   Received Dispatch (TYPING_START)
12:01:25 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:26 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:30 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:33 Gateway   Received Dispatch (TYPING_START)
12:01:33 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:33 Gateway   Received Dispatch (TYPING_START)
12:01:40 Gateway   Received Dispatch (TYPING_START)
12:01:40 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:41 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:43 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:43 Gateway   Received Dispatch (TYPING_START)
12:01:45 Gateway   Received Dispatch (TYPING_START)
12:01:45 Gateway   Received Dispatch (TYPING_START)
12:01:46 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:46 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:48 Gateway   Received Dispatch (TYPING_START)
12:01:48 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:48 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:51 Gateway   Received Dispatch (TYPING_START)
12:01:54 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:56 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:56 Gateway   Received Dispatch (TYPING_START)
12:01:57 Gateway   Received Dispatch (MESSAGE_CREATE)
12:01:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:01:59 Gateway   Received Dispatch (TYPING_START)
12:01:59 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:02 Gateway   Received Dispatch (TYPING_START)
12:02:02 Gateway   Sent Heartbeat
12:02:02 Gateway   Received HeartbeatAck
12:02:02 Gateway   Latency = 47 ms
12:02:03 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:05 Gateway   Received Dispatch (TYPING_START)
12:02:07 Gateway   Received Dispatch (TYPING_START)
12:02:07 Gateway   Received Dispatch (TYPING_START)
12:02:10 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:10 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:10 Gateway   Received Dispatch (TYPING_START)
12:02:11 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:12 Gateway   Received Dispatch (TYPING_START)
12:02:13 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:13 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:13 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:15 Gateway   Received Dispatch (TYPING_START)
12:02:16 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:16 Gateway   Received Dispatch (TYPING_START)
12:02:21 Gateway   Received Dispatch (TYPING_START)
12:02:23 Gateway   Received Dispatch (TYPING_START)
12:02:24 Gateway   Received Dispatch (TYPING_START)
12:02:28 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:28 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:29 Gateway   Received Dispatch (TYPING_START)
12:02:29 Gateway   Received Dispatch (TYPING_START)
12:02:31 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:32 Gateway   Received Dispatch (TYPING_START)
12:02:33 Gateway   Received Dispatch (TYPING_START)
12:02:35 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:35 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:37 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:40 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:41 Rest      GET channels/251386218351165441/messages?limit=100: 200.33 ms
12:02:41 Rest      POST channels/253967815671808001/messages: 223.56 ms
12:02:41 Gateway   Received Dispatch (TYPING_START)
12:02:41 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:02:41 Gateway   Received Dispatch (MESSAGE_CREATE)
12:02:41 Rest      POST channels/251386218351165441/messages/bulk-delete: 87.66 ms
12:02:41 Gateway   Received Dispatch (MESSAGE_DELETE_BULK)
12:02:42 Rest      POST channels/253967815671808001/messages: 121.08 ms
12:02:42 Rest      POST channels/253967815671808001/messages: 112.88 ms
12:02:42 Rest      POST channels/253967815671808001/messages: 118.28 ms
12:02:42 Rest      POST channels/251386218351165441/messages: 684.41 ms
12:02:42 Rest      POST channels/253967815671808001/messages: 200.12 ms
12:02:42 Queue     Preemptive Rate limit triggered: channels/253967815671808001/messages
12:02:44 Gateway   Sent Heartbeat
12:02:47 Rest      POST channels/253967815671808001/messages: 4868.11 ms
12:02:47 Rest      POST channels/253967815671808001/messages: 129.29 ms
12:02:47 Rest      POST channels/253967815671808001/messages: 128.11 ms
12:02:47 Rest      POST channels/253967815671808001/messages: 110.57 ms
12:02:47 Rest      POST channels/253967815671808001/messages: 116.62 ms
12:02:48 Queue     Preemptive Rate limit triggered: channels/253967815671808001/messages
12:02:53 Rest      POST channels/253967815671808001/messages: 5123.49 ms
12:02:53 Rest      POST channels/253967815671808001/messages: 122.29 ms
12:02:53 Rest      POST channels/253967815671808001/messages: 116.99 ms
12:02:53 Rest      POST channels/253967815671808001/messages: 128.61 ms
12:02:53 Rest      POST channels/253967815671808001/messages: 114.8 ms
12:02:53 Queue     Preemptive Rate limit triggered: channels/253967815671808001/messages
