13:58:00 Discord   Discord.Net v1.0.0-beta2-00500 (API v6)
13:58:01 Rest      GET users/@me: 397.25 ms
13:58:01 Rest      GET voice/regions: 126.74 ms
13:58:01 Gateway   Connecting
13:58:01 Gateway   Connecting ApiClient
13:58:01 Rest      GET gateway: 88.38 ms
13:58:02 Gateway   Raising Event
13:58:02 Gateway   Identifying
13:58:02 Gateway   Sent Identify
13:58:02 Gateway   Received Hello
13:58:02 Discord   Heartbeat Started
13:58:02 Gateway   Sent Heartbeat
13:58:02 Gateway   Received Dispatch (READY)
13:58:02 Discord   GuildDownloader Started
13:58:02 Gateway   Ready
13:58:02 Gateway   Sending Status
13:58:02 Gateway   Sent StatusUpdate
13:58:02 Gateway   Raising Event
13:58:02 Gateway   Connected
13:58:02 Gateway   Received Dispatch (GUILD_AVAILABLE)
13:58:03 Gateway   Connected to C#
13:58:03 Gateway   Received HeartbeatAck
13:58:03 Gateway   Latency = 437 ms
13:58:03 Gateway   Received Dispatch (TYPING_START)
13:58:03 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:03 Discord   GuildDownloader Stopped
13:58:03 Gateway   Sent StatusUpdate
13:58:04 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:04 Rest      POST channels/251386218351165441/messages: 169.13 ms
13:58:04 Rest      POST channels/253967815671808001/messages: 172.96 ms
13:58:04 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:04 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:04 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:04 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:05 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:07 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:08 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:09 Gateway   Received Dispatch (TYPING_START)
13:58:09 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:09 Gateway   Received Dispatch (TYPING_START)
13:58:11 Gateway   Received Dispatch (MESSAGE_UPDATE)
13:58:11 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:12 Gateway   Received Dispatch (TYPING_START)
13:58:12 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:16 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:16 Rest      POST channels/251386218351165441/messages: 133.39 ms
13:58:16 Rest      POST channels/253967815671808001/messages: 144.62 ms
13:58:16 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:16 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:16 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:16 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:18 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:19 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:19 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:20 Gateway   Received Dispatch (TYPING_START)
13:58:23 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:23 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:23 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:24 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:26 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:27 Gateway   Received Dispatch (TYPING_START)
13:58:28 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:29 Gateway   Received Dispatch (MESSAGE_CREATE)
13:58:30 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:30 Gateway   Received Dispatch (PRESENCE_UPDATE)
13:58:33 Gateway   Received Dispatch (PRESENCE_UPDATE)
