14:17:06 Discord   Discord.Net v1.0.0-beta2-00500 (API v6)
14:17:06 Rest      GET users/@me: 425.46 ms
14:17:07 Rest      GET voice/regions: 91.2 ms
14:17:07 Gateway   Connecting
14:17:07 Gateway   Connecting ApiClient
14:17:07 Rest      GET gateway: 90.04 ms
14:17:07 Gateway   Raising Event
14:17:07 Gateway   Identifying
14:17:07 Gateway   Sent Identify
14:17:08 Gateway   Received Hello
14:17:08 Discord   Heartbeat Started
14:17:08 Gateway   Sent Heartbeat
14:17:08 Gateway   Received Dispatch (READY)
14:17:08 Discord   GuildDownloader Started
14:17:08 Gateway   Ready
14:17:08 Gateway   Sending Status
14:17:08 Gateway   Sent StatusUpdate
14:17:08 Gateway   Raising Event
14:17:08 Gateway   Connected
14:17:08 Gateway   Received Dispatch (GUILD_AVAILABLE)
14:17:08 Gateway   Connected to C#
14:17:08 Gateway   Received HeartbeatAck
14:17:08 Gateway   Latency = 328 ms
14:17:08 Discord   GuildDownloader Stopped
14:17:08 Gateway   Sent StatusUpdate
14:17:10 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:13 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:13 Gateway   Received Dispatch (TYPING_START)
14:17:15 Gateway   Received Dispatch (TYPING_START)
14:17:17 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:21 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:21 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:21 Gateway   Received Dispatch (TYPING_START)
14:17:23 Gateway   Received Dispatch (TYPING_START)
14:17:24 Gateway   Received Dispatch (TYPING_START)
14:17:25 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:25 Rest      POST channels/253967815671808001/messages: 171.11 ms
14:17:25 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:25 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:26 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:26 Rest      POST channels/251386218351165441/messages: 134.52 ms
14:17:26 Gateway   Received Dispatch (MESSAGE_UPDATE)
14:17:27 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:31 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:33 Gateway   Received Dispatch (TYPING_START)
14:17:34 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:37 Gateway   Received Dispatch (TYPING_START)
14:17:37 Gateway   Received Dispatch (MESSAGE_UPDATE)
14:17:42 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:45 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:45 Gateway   Received Dispatch (TYPING_START)
14:17:47 Gateway   Received Dispatch (TYPING_START)
14:17:47 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:48 Gateway   Received Dispatch (TYPING_START)
14:17:49 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:49 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:49 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:49 Gateway   Received Dispatch (TYPING_START)
14:17:49 Gateway   Sent Heartbeat
14:17:49 Gateway   Received HeartbeatAck
14:17:49 Gateway   Latency = 93 ms
14:17:50 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:52 Gateway   Received Dispatch (TYPING_START)
14:17:52 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:17:55 Gateway   Received Dispatch (MESSAGE_CREATE)
14:17:55 Gateway   Received Dispatch (PRESENCE_UPDATE)
