14:11:12 Discord   Discord.Net v1.0.0-beta2-00500 (API v6)
14:11:12 Rest      GET users/@me: 383.22 ms
14:11:13 Rest      GET voice/regions: 103.55 ms
14:11:13 Gateway   Connecting
14:11:13 Gateway   Connecting ApiClient
14:11:13 Rest      GET gateway: 87.25 ms
14:11:13 Gateway   Raising Event
14:11:13 Gateway   Identifying
14:11:13 Gateway   Sent Identify
14:11:14 Gateway   Received Hello
14:11:14 Discord   Heartbeat Started
14:11:14 Gateway   Sent Heartbeat
14:11:14 Gateway   Received Dispatch (READY)
14:11:14 Discord   GuildDownloader Started
14:11:14 Gateway   Ready
14:11:14 Gateway   Sending Status
14:11:14 Gateway   Sent StatusUpdate
14:11:14 Gateway   Raising Event
14:11:14 Gateway   Connected
14:11:14 Gateway   Received Dispatch (GUILD_AVAILABLE)
14:11:14 Gateway   Connected to C#
14:11:14 Gateway   Received HeartbeatAck
14:11:14 Gateway   Latency = 297 ms
14:11:14 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:14 Discord   GuildDownloader Stopped
14:11:14 Gateway   Sent StatusUpdate
14:11:15 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:21 Gateway   Received Dispatch (TYPING_START)
14:11:22 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:23 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:24 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:24 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:29 Gateway   Received Dispatch (TYPING_START)
14:11:30 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:30 Gateway   Received Dispatch (TYPING_START)
14:11:32 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:38 Gateway   Received Dispatch (TYPING_START)
14:11:40 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:40 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:44 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:46 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:48 Gateway   Received Dispatch (TYPING_START)
14:11:52 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:52 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:52 Rest      POST channels/251386218351165441/messages: 173.05 ms
14:11:52 Rest      POST channels/253967815671808001/messages: 247.28 ms
14:11:52 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:52 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:52 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:52 Gateway   Received Dispatch (MESSAGE_CREATE)
14:11:55 Gateway   Sent Heartbeat
14:11:55 Gateway   Received HeartbeatAck
14:11:55 Gateway   Latency = 125 ms
14:11:56 Gateway   Received Dispatch (TYPING_START)
14:11:56 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:11:59 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:12:00 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:12:00 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:12:01 Gateway   Received Dispatch (MESSAGE_CREATE)
14:12:02 Rest      POST channels/253967815671808001/messages: 151.18 ms
14:12:02 Gateway   Received Dispatch (MESSAGE_CREATE)
14:12:02 Gateway   Received Dispatch (MESSAGE_CREATE)
14:12:02 Gateway   Received Dispatch (MESSAGE_CREATE)
14:12:02 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:12:04 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:12:08 Gateway   Received Dispatch (PRESENCE_UPDATE)
14:12:08 Gateway   Received Dispatch (PRESENCE_UPDATE)
