10:17:52 Discord   Discord.Net v1.0.0-beta2-00491 (API v6)
10:17:54 Rest      GET users/@me: 1482.3 ms
10:17:54 Rest      GET voice/regions: 80.83 ms
10:17:54 Gateway   Connecting
10:17:54 Gateway   Connecting ApiClient
10:17:54 Rest      GET gateway: 93.38 ms
10:17:55 Gateway   Raising Event
10:17:55 Gateway   Identifying
10:17:55 Gateway   Sent Identify
10:17:55 Gateway   Received Hello
10:17:55 Discord   Heartbeat Started
10:17:55 Gateway   Sent Heartbeat
10:17:55 Gateway   Received Dispatch (READY)
10:17:55 Discord   GuildDownloader Started
10:17:55 Gateway   Ready
10:17:55 Gateway   Sending Status
10:17:55 Gateway   Sent StatusUpdate
10:17:55 Gateway   Raising Event
10:17:55 Gateway   Connected
10:17:56 Gateway   Received Dispatch (GUILD_AVAILABLE)
10:17:56 Gateway   Connected to C#
10:17:56 Gateway   Received Dispatch (MESSAGE_CREATE)
10:17:56 Gateway   Received HeartbeatAck
10:17:56 Gateway   Latency = 515 ms
10:17:56 Discord   GuildDownloader Stopped
10:17:56 Gateway   Sent StatusUpdate
10:17:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:01 Gateway   Received Dispatch (TYPING_START)
10:18:03 Gateway   Received Dispatch (MESSAGE_CREATE)
10:18:03 Rest      POST channels/251386218351165441/messages: 145.18 ms
10:18:03 Rest      POST channels/253967815671808001/messages: 211.2 ms
10:18:03 Gateway   Received Dispatch (MESSAGE_CREATE)
10:18:03 Gateway   Received Dispatch (MESSAGE_CREATE)
10:18:06 Gateway   Received Dispatch (TYPING_START)
10:18:06 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:07 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:07 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:08 Gateway   Received Dispatch (MESSAGE_CREATE)
10:18:08 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:10 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:10 Gateway   Received Dispatch (TYPING_START)
10:18:11 Gateway   Received Dispatch (PRESENCE_UPDATE)
10:18:17 Gateway   Received Dispatch (MESSAGE_CREATE)
10:18:19 Gateway   Received Dispatch (PRESENCE_UPDATE)
