12:24:43 Discord   Discord.Net v1.0.0-beta2-00491 (API v6)
12:24:43 Rest      GET users/@me: 631.8 ms
12:24:43 Rest      GET voice/regions: 108.79 ms
12:24:44 Gateway   Connecting
12:24:44 Gateway   Connecting ApiClient
12:24:44 Rest      GET gateway: 91.58 ms
12:24:44 Gateway   Raising Event
12:24:44 Gateway   Identifying
12:24:44 Gateway   Sent Identify
12:24:45 Gateway   Received Hello
12:24:45 Discord   Heartbeat Started
12:24:45 Gateway   Sent Heartbeat
12:24:45 Gateway   Received Dispatch (READY)
12:24:45 Discord   GuildDownloader Started
12:24:45 Gateway   Ready
12:24:45 Gateway   Sending Status
12:24:45 Gateway   Sent StatusUpdate
12:24:45 Gateway   Raising Event
12:24:45 Gateway   Connected
12:24:45 Gateway   Received Dispatch (GUILD_AVAILABLE)
12:24:45 Gateway   Connected to C#
12:24:45 Gateway   Received HeartbeatAck
12:24:45 Gateway   Latency = 515 ms
12:24:45 Discord   GuildDownloader Stopped
12:24:46 Gateway   Sent StatusUpdate
12:24:48 Gateway   Received Dispatch (TYPING_START)
12:24:49 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:49 Rest      GET channels/251386218351165441/messages?limit=99&before=255761296287465475: 139.18 ms
12:24:50 Rest      POST channels/253967815671808001/messages: 225.39 ms
12:24:50 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:50 Rest      POST channels/251386218351165441/messages/bulk-delete: 108.97 ms
12:24:50 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:50 Rest      POST channels/251386218351165441/messages: 113.65 ms
12:24:50 Gateway   Received Dispatch (MESSAGE_DELETE_BULK)
12:24:50 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:50 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:51 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:51 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:51 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:53 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:24:53 Gateway   Received Dispatch (TYPING_START)
12:24:54 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:57 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:57 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:57 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:57 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:58 Gateway   Received Dispatch (MESSAGE_CREATE)
12:24:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:01 Gateway   Received Dispatch (TYPING_START)
12:25:02 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:02 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:03 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:03 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:03 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:03 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:03 Gateway   Received Dispatch (TYPING_START)
12:25:03 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:04 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:05 Gateway   Received Dispatch (TYPING_START)
12:25:06 Gateway   Received Dispatch (TYPING_START)
12:25:07 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:09 Gateway   Received Dispatch (TYPING_START)
12:25:09 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:09 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:09 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:09 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:09 Gateway   Received Dispatch (TYPING_START)
12:25:09 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:10 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:11 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:15 Gateway   Received Dispatch (TYPING_START)
12:25:17 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:20 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:22 Gateway   Received Dispatch (TYPING_START)
12:25:23 Gateway   Received Dispatch (TYPING_START)
12:25:25 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:26 Gateway   Sent Heartbeat
12:25:26 Gateway   Received HeartbeatAck
12:25:26 Gateway   Latency = 62 ms
12:25:27 Gateway   Received Dispatch (TYPING_START)
12:25:27 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:28 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:30 Gateway   Received Dispatch (TYPING_START)
12:25:30 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:32 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:34 Gateway   Received Dispatch (MESSAGE_CREATE)
12:25:42 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:47 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:50 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:52 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:25:57 Gateway   Received Dispatch (TYPING_START)
12:25:58 Gateway   Received Dispatch (TYPING_START)
12:26:03 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:06 Gateway   Received Dispatch (TYPING_START)
12:26:06 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:07 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:07 Gateway   Sent Heartbeat
12:26:07 Gateway   Received HeartbeatAck
12:26:07 Gateway   Latency = 47 ms
12:26:14 Gateway   Received Dispatch (TYPING_START)
12:26:15 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:16 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:17 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:21 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:21 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:22 Gateway   Received Dispatch (TYPING_START)
12:26:26 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:29 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:30 Gateway   Received Dispatch (MESSAGE_CREATE)
12:26:31 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:31 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:33 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:34 Gateway   Received Dispatch (TYPING_START)
12:26:35 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:36 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:36 Gateway   Received Dispatch (TYPING_START)
12:26:37 Gateway   Received Dispatch (MESSAGE_CREATE)
12:26:39 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:43 Gateway   Received Dispatch (TYPING_START)
12:26:44 Gateway   Received Dispatch (MESSAGE_CREATE)
12:26:44 Gateway   Received Dispatch (TYPING_START)
12:26:45 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:49 Gateway   Sent Heartbeat
12:26:49 Gateway   Received HeartbeatAck
12:26:49 Gateway   Latency = 79 ms
12:26:49 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:55 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:26:55 Gateway   Received Dispatch (TYPING_START)
12:26:56 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:03 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:03 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:06 Gateway   Received Dispatch (TYPING_START)
12:27:06 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:11 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:11 Gateway   Received Dispatch (MESSAGE_CREATE)
12:27:15 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:16 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:22 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:30 Gateway   Sent Heartbeat
12:27:30 Gateway   Received HeartbeatAck
12:27:30 Gateway   Latency = 63 ms
12:27:31 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:37 Gateway   Received Dispatch (TYPING_START)
12:27:38 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:43 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:46 Gateway   Received Dispatch (TYPING_START)
12:27:49 Gateway   Received Dispatch (TYPING_START)
12:27:50 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:27:50 Gateway   Received Dispatch (TYPING_START)
12:27:53 Gateway   Received Dispatch (MESSAGE_CREATE)
12:27:54 Gateway   Received Dispatch (TYPING_START)
12:27:57 Gateway   Received Dispatch (TYPING_START)
12:27:58 Gateway   Received Dispatch (TYPING_START)
12:27:59 Gateway   Received Dispatch (TYPING_START)
12:28:01 Gateway   Received Dispatch (TYPING_START)
12:28:02 Gateway   Received Dispatch (TYPING_START)
12:28:04 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:05 Gateway   Received Dispatch (TYPING_START)
12:28:06 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:06 Gateway   Received Dispatch (TYPING_START)
12:28:06 Gateway   Received Dispatch (TYPING_START)
12:28:06 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:07 Gateway   Received Dispatch (TYPING_START)
12:28:08 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:09 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:09 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:09 Gateway   Received Dispatch (MESSAGE_UPDATE)
12:28:11 Gateway   Sent Heartbeat
12:28:11 Gateway   Received HeartbeatAck
12:28:11 Gateway   Latency = 32 ms
12:28:12 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:14 Gateway   Received Dispatch (TYPING_START)
12:28:16 Gateway   Received Dispatch (TYPING_START)
12:28:18 Gateway   Received Dispatch (TYPING_START)
12:28:20 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:23 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:26 Gateway   Received Dispatch (TYPING_START)
12:28:27 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:30 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:31 Gateway   Received Dispatch (TYPING_START)
12:28:32 Gateway   Received Dispatch (TYPING_START)
12:28:33 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:35 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:35 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:36 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:38 Gateway   Received Dispatch (TYPING_START)
12:28:39 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:41 Gateway   Received Dispatch (TYPING_START)
12:28:42 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:48 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:49 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:49 Gateway   Received Dispatch (TYPING_START)
12:28:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:52 Gateway   Sent Heartbeat
12:28:52 Gateway   Received HeartbeatAck
12:28:52 Gateway   Latency = 62 ms
12:28:54 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:55 Gateway   Received Dispatch (MESSAGE_CREATE)
12:28:56 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:28:57 Gateway   Received Dispatch (TYPING_START)
12:29:00 Gateway   Received Dispatch (TYPING_START)
12:29:05 Gateway   Received Dispatch (TYPING_START)
12:29:06 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:06 Gateway   Received Dispatch (MESSAGE_CREATE)
12:29:07 Gateway   Received Dispatch (MESSAGE_UPDATE)
12:29:07 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:08 Gateway   Received Dispatch (TYPING_START)
12:29:11 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:12 Gateway   Received Dispatch (MESSAGE_CREATE)
12:29:18 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:22 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:22 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:23 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:29 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:29 Gateway   Received Dispatch (TYPING_START)
12:29:34 Gateway   Sent Heartbeat
12:29:34 Gateway   Received HeartbeatAck
12:29:34 Gateway   Latency = 94 ms
12:29:35 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:37 Gateway   Received Dispatch (TYPING_START)
12:29:39 Gateway   Received Dispatch (MESSAGE_CREATE)
12:29:40 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:43 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:47 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:53 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:29:59 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:12 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:13 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:15 Gateway   Sent Heartbeat
12:30:15 Gateway   Received HeartbeatAck
12:30:15 Gateway   Latency = 62 ms
12:30:17 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:23 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:31 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:33 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:39 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:44 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:48 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:48 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:30:56 Gateway   Sent Heartbeat
12:30:56 Gateway   Received HeartbeatAck
12:30:56 Gateway   Latency = 32 ms
12:31:06 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:11 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:13 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:15 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:18 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:24 Gateway   Received Dispatch (TYPING_START)
12:31:24 Gateway   Received Dispatch (MESSAGE_CREATE)
12:31:25 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:30 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:31 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:37 Gateway   Sent Heartbeat
12:31:38 Gateway   Received HeartbeatAck
12:31:38 Gateway   Latency = 63 ms
12:31:41 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:44 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:46 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:57 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:58 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:31:59 Gateway   Received Dispatch (TYPING_START)
12:32:00 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:01 Gateway   Received Dispatch (TYPING_START)
12:32:02 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:06 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:06 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:06 Gateway   Received Dispatch (TYPING_START)
12:32:07 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:13 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:13 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:14 Gateway   Received Dispatch (TYPING_START)
12:32:15 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:15 Gateway   Received Dispatch (TYPING_START)
12:32:17 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:18 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:19 Gateway   Sent Heartbeat
12:32:19 Gateway   Received Dispatch (TYPING_START)
12:32:19 Gateway   Received HeartbeatAck
12:32:19 Gateway   Latency = 62 ms
12:32:20 Gateway   Received Dispatch (TYPING_START)
12:32:20 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:24 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:25 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:26 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:27 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:32 Gateway   Received Dispatch (TYPING_START)
12:32:40 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:44 Gateway   Received Dispatch (TYPING_START)
12:32:45 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:46 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:46 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:47 Gateway   Received Dispatch (PRESENCE_UPDATE)
12:32:50 Gateway   Received Dispatch (MESSAGE_CREATE)
12:32:51 Gateway   Received Dispatch (PRESENCE_UPDATE)
